Description,SingularCode
Live animals; animal products,C1
Cereals,C10
Products of the milling industry; malt; starches; inulin; wheat gluten,C11
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",C12
"Lac; gums, resins and other vegetable saps and extracts",C13
Vegetable plaiting materials; vegetable products not elsewhere specified or included,C14
Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,C15
"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",C16
Sugars and sugar confectionery,C17
Cocoa and cocoa preparations,C18
"Preparations of cereals, flour, starch or milk; pastrycooks' products",C19
Meat and edible meat offal,C2
"Preparations of vegetables, fruit, nuts or other parts of plants",C20
Miscellaneous edible preparations,C21
"Beverages, spirits and vinegar",C22
Residues and waste from the food industries; prepared animal fodder,C23
Tobacco and manufactured tobacco substitutes,C24
"Salt; sulphur; earths and stone; plastering materials, lime and cement",C25
"Ores, slag and ash",C26
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",C27
"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",C28
Organic chemicals,C29
"Fish and crustaceans, molluscs and other acquatic invertebrates",C3
Pharmaceutical products,C30
Fertilisers,C31
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",C32
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",C33
"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificialwaxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis o",C34
Albuminoidal substances; modified starches; glues; enzymes,C35
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,C36
Photographic or cinematographic goods,C37
Miscellaneous chemical products,C38
Plastics and articles thereof,C39
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",C4
Rubber and articles thereof,C40
Raw hides and skins (other than furskins) and leather,C41
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",C42
Fur skins and artificial fur; manufactures thereof,C43
Wood and articles of wood; wood charcoal,C44
Cork and articles of cork,C45
"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",C46
Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,C47
"Paper and paperboard; articles of paper pulp, of paper or of paperboard",C48
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",C49
"Products of animal origin, not elsewhere specified or included",C5
Silk,C50
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",C51
Cotton,C52
Other vegetable textile fibers; paper yarn and woven fabric of paper yarn,C53
Man-made filaments; strip and the like of man-made textile materials,C54
Man-made staple fibres,C55
"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",C56
Carpets and other textile floor coverings,C57
Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,C58
"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",C59
"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",C6
Knitted or crocheted fabrics,C60
"Articles of apparel and clothing accessories, knitted or crocheted",C61
"Articles of apparel and clothing accessories, not knitted or crocheted",C62
Other made up textile articles; sets; worn clothing and worn textile articles; rags,C63
"Footwear, gaiters and the like; parts of such articles",C64
Headgear and parts thereof,C65
"Umbrella, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof",C66
Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,C67
"Articles of stone, plaster, cement, asbestos, mica or similar materials",C68
Ceramic products,C69
Edible vegetables and certain roots and tubers,C7
Glass and glassware,C70
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals cladwith precious metal, and articles thereof; imitation jewellery; coin",C71
Iron and steel,C72
Articles of iron or steel,C73
Copper and articles thereof,C74
Nickel and articles thereof,C75
Aluminum and articles thereof,C76
Lead and articles thereof,C78
Zinc and articles thereof,C79
Edible fruit and nuts; peel of citrus fruit or melons,C8
Tin and articles thereof,C80
Other base metals; cermets; articles thereof,C81
"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",C82
Miscellaneous articles of base metal,C83
"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",C84
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",C85
"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",C86
"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",C87
"Aircraft, spacecraft, and parts thereof",C88
"Ships, boats and other floating structures",C89
"Coffee, tea, mate and spices",C9
"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",C90
Clocks and watches and parts thereof,C91
Musical instruments; parts and accessories of such articles,C92
Arms and ammunition; parts and accessories thereof,C93
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",C94
"Toys, games and sports requisites; parts and accessories thereof",C95
Miscellaneous manufactured articles,C96
"Works of art, collectors pieces and antiques",C97
Commodities not elsewhere specified,C99
1 Transportation,S205
2 Travel,S236
3 Communications services,S245
4 Construction services,S249
5 Insurance services,S253
6 Financial services,S260
7 Computer and information services,S262
8 Royalties and license fees,S266
9 Other business services,S268
"10 Personal, cultural, and recreational services",S287
"11 Government services, n.i.e.",S291
Services not allocated,S983
